Year,Statewide
1951,15.0
1952,18.6
1953,11.0
1954,7.8
1955,6.8
1956,6.3
1957,4.6
1958,11.2
1959,10.5
1960,9.8
1961,11.8
1962,10.2
1963,8.4
1964,8.4
1965,9.0
1966,8.8
1967,8.9
1968,8.6
1969,7.3
1970,7.6
1971,7.09
1972,8.22
1973,6.78
1974,5.66
1975,4.65
1976,4.30
1977,4.02
1978,5.82
1979,5.23
1980,4.43
1981,5.55
1982,3.63
1983,2.66
1984,1.67
1985,2.31
1986,2.55
1987,2.08
1988,2.22
1989,2.15
1990,2.32
1991,3.08
1992,2.38
1993,1.98
1994,2.77
1995,2.08
1996,1.72
1997,1.72
1998,1.59
1999,1.64
2000,1.47
2001,1.06
2002,0.91
2003,1.36
2004,1.75
